Severity;Name;Vulnerability_url;Package;Versions;CVE;GitHub Advisory;GitHub Commit;GitHub Release;GitHub Release Tag;GitHub Additional Information;GitHub PR;GitHub Issue;NVD
M;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013614;tensorflow-gpu;[2.3.0, 2.3.1);CVE-2020-15198;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-jc87-6vpp-7ff3;https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013613;tensorflow-cpu;[2.3.0, 2.3.1);CVE-2020-15198;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-jc87-6vpp-7ff3;https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013612;tensorflow;[2.3.0, 2.3.1);CVE-2020-15198;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-jc87-6vpp-7ff3;https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013611;tensorflow-gpu;[2.3.0, 2.3.1);CVE-2020-15196;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-pg59-2f92-5cph;https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013610;tensorflow-cpu;[2.3.0, 2.3.1);CVE-2020-15196;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-pg59-2f92-5cph;https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013609;tensorflow;[2.3.0, 2.3.1);CVE-2020-15196;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-pg59-2f92-5cph;https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;NULL Pointer Dereference;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013608;tensorflow-gpu;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15191;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q8qj-fc9q-cphr;https://github.com/tensorflow/tensorflow/commit/22e07fb204386768e5bcbea563641ea11f96ceb8;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;NULL Pointer Dereference;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013607;tensorflow-cpu;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15191;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q8qj-fc9q-cphr;https://github.com/tensorflow/tensorflow/commit/22e07fb204386768e5bcbea563641ea11f96ceb8;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;NULL Pointer Dereference;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013606;tensorflow;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15191;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q8qj-fc9q-cphr;https://github.com/tensorflow/tensorflow/commit/22e07fb204386768e5bcbea563641ea11f96ceb8;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Improper Input Validation;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013605;tensorflow;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15210;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-x9j7-x98r-r4w2;https://github.com/tensorflow/tensorflow/commit/d58c96946b2880991d63d1dacacb32f0a4dfa453;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013603;tensorflow-gpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15195;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-63xm-rx5p-xvqr;https://github.com/tensorflow/tensorflow/commit/390611e0d45c5793c7066110af37c8514e6a6c54;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013604;tensorflow-cpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15195;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-63xm-rx5p-xvqr;https://github.com/tensorflow/tensorflow/commit/390611e0d45c5793c7066110af37c8514e6a6c54;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013602;tensorflow;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15195;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-63xm-rx5p-xvqr;https://github.com/tensorflow/tensorflow/commit/390611e0d45c5793c7066110af37c8514e6a6c54;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Uninitialized Memory Exposure;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013560;tensorflow-gpu;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15193;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-rjjg-hgv6-h69v;https://github.com/tensorflow/tensorflow/commit/22e07fb204386768e5bcbea563641ea11f96ceb8;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Uninitialized Memory Exposure;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013559;tensorflow-cpu;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15193;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-rjjg-hgv6-h69v;https://github.com/tensorflow/tensorflow/commit/22e07fb204386768e5bcbea563641ea11f96ceb8;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Uninitialized Memory Exposure;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013558;tensorflow;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15193;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-rjjg-hgv6-h69v;https://github.com/tensorflow/tensorflow/commit/22e07fb204386768e5bcbea563641ea11f96ceb8;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;NULL Pointer Dereference;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013553;tensorflow;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15209;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-qh32-6jjc-qprm;https://github.com/tensorflow/tensorflow/commit/0b5662bc2be13a8c8f044d925d87fb6e56247cd8;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013552;tensorflow;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15213;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-hjmq-236j-8m87;https://github.com/tensorflow/tensorflow/commit/204945b19e44b57906c9344c0d00120eeeae178a;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Uninitialized Memory Exposure;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013551;tensorflow-gpu;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15192;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-8fxw-76px-3rxv;https://github.com/tensorflow/tensorflow/commit/22e07fb204386768e5bcbea563641ea11f96ceb8;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Uninitialized Memory Exposure;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013550;tensorflow-cpu;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15192;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-8fxw-76px-3rxv;https://github.com/tensorflow/tensorflow/commit/22e07fb204386768e5bcbea563641ea11f96ceb8;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Uninitialized Memory Exposure;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013549;tensorflow;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15192;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-8fxw-76px-3rxv;https://github.com/tensorflow/tensorflow/commit/22e07fb204386768e5bcbea563641ea11f96ceb8;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Out-of-Bounds;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013583;tensorflow;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15211;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-cvpc-8phh-8f45;https://github.com/tensorflow/tensorflow/commit/00302787b788c5ff04cb6f62aed5a74d936e86c0;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-DJANGOFILTER-1013846;django-filter;[,2.4.0);CVE-2020-15225;;;https://github.com/carltongibson/django-filter/releases/tag/2.4.0;;;;;
H;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013544;tensorflow-gpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15205;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-g7p5-5759-qv46;https://github.com/tensorflow/tensorflow/commit/0462de5b544ed4731aa2fb23946ac22c01856b80;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013543;tensorflow-cpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15205;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-g7p5-5759-qv46;https://github.com/tensorflow/tensorflow/commit/0462de5b544ed4731aa2fb23946ac22c01856b80;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013542;tensorflow;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15205;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-g7p5-5759-qv46;https://github.com/tensorflow/tensorflow/commit/0462de5b544ed4731aa2fb23946ac22c01856b80;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Numeric Truncation Error;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013545;tensorflow-gpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15202;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h6fg-mjxg-hqq4;https://github.com/tensorflow/tensorflow/commit/27b417360cbd671ef55915e4bb6bb06af8b8a832;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Numeric Truncation Error;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013546;tensorflow-cpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15202;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h6fg-mjxg-hqq4;https://github.com/tensorflow/tensorflow/commit/27b417360cbd671ef55915e4bb6bb06af8b8a832;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Numeric Truncation Error;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013547;tensorflow;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15202;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h6fg-mjxg-hqq4;https://github.com/tensorflow/tensorflow/commit/27b417360cbd671ef55915e4bb6bb06af8b8a832;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Out-of-bounds Write;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013541;tensorflow;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15214;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-p2cq-cprg-frvm;https://github.com/tensorflow/tensorflow/commit/204945b19e44b57906c9344c0d00120eeeae178a;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Out-of-Bounds;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013548;tensorflow;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15208;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mxjj-953w-2c2v;https://github.com/tensorflow/tensorflow/commit/8ee24e7949a203d234489f9da2c5bf45a7d5157d;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;NULL Pointer Dereference;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013540;tensorflow-gpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15204;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q8gv-q7wr-9jf8;https://github.com/tensorflow/tensorflow/commit/9a133d73ae4b4664d22bd1aa6d654fec13c52ee1;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;NULL Pointer Dereference;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013539;tensorflow-cpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15204;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q8gv-q7wr-9jf8;https://github.com/tensorflow/tensorflow/commit/9a133d73ae4b4664d22bd1aa6d654fec13c52ee1;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;NULL Pointer Dereference;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013538;tensorflow;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15204;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q8gv-q7wr-9jf8;https://github.com/tensorflow/tensorflow/commit/9a133d73ae4b4664d22bd1aa6d654fec13c52ee1;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013535;tensorflow-gpu;[2.3.0, 2.3.1);CVE-2020-15201;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-p5f8-gfw5-33w4;https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013536;tensorflow-cpu;[2.3.0, 2.3.1);CVE-2020-15201;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-p5f8-gfw5-33w4;https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
M;Heap-based Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013537;tensorflow;[2.3.0, 2.3.1);CVE-2020-15201;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-p5f8-gfw5-33w4;https://github.com/tensorflow/tensorflow/commit/3cbb917b4714766030b28eba9fb41bb97ce9ee02;https://github.com/tensorflow/tensorflow/releases/tag/v2.3.1;;;;;
H;Out-of-bounds Write;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013504;tensorflow;[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15212;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-hx2x-85gr-wrpq;https://github.com/tensorflow/tensorflow/commit/204945b19e44b57906c9344c0d00120eeeae178a;;;;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15212
H;Out-of-Bounds;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013501;tensorflow-gpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15208;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mxjj-953w-2c2v;https://github.com/tensorflow/tensorflow/commit/8ee24e7949a203d234489f9da2c5bf45a7d5157d;;;;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15208
H;Out-of-Bounds;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013503;tensorflow-cpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15208;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mxjj-953w-2c2v;https://github.com/tensorflow/tensorflow/commit/8ee24e7949a203d234489f9da2c5bf45a7d5157d;;;;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15208
H;Out-of-Bounds;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013502;tensorflow;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15208;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mxjj-953w-2c2v;https://github.com/tensorflow/tensorflow/commit/8ee24e7949a203d234489f9da2c5bf45a7d5157d;;;;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15208
H;Out-of-bounds Read;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013498;tensorflow-gpu;[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15207;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q4qf-3fc6-8x34;;;;;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15207
H;Out-of-bounds Read;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWCPU-1013499;tensorflow-cpu;[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15207;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q4qf-3fc6-8x34;;;;;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15207
H;Out-of-bounds Read;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1013500;tensorflow;[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15207;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q4qf-3fc6-8x34;;;;;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15207
H;Externally-Controlled Format String;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOWGPU-1013495;tensorflow-gpu;[,1.15.4),[2.0.0, 2.0.3),[2.1.0, 2.1.2),[2.2.0, 2.2.1),[2.3.0, 2.3.1);CVE-2020-15203;https://github.com/tensorflow/tensorflow/security/advisories/GHSA-xmq7-7fxm-rr79;https://github.com/tensorflow/tensorflow/commit/33be22c65d86256e6826666662e40dbdfe70ee83;;;https://github.com/advisories/GHSA-xmq7-7fxm-rr79;;;https://nvd.nist.gov/vuln/detail/CVE-2020-15203
