Severity;Name;Vulnerability_url;Package;Versions;CVE;GitHub Advisory;GitHub Commit;GitHub Release;GitHub Release Tag;GitHub Additional Information;GitHub PR;GitHub Issue;NVD
M;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-MATRIXSYNAPSE-1080612;matrix-synapse;[0.99.0, 1.25.0rc1);CVE-2021-21274;;https://github.com/matrix-org/synapse/commit/ff5c4da1289cb5e097902b3e55b771be342c29d6;https://github.com/matrix-org/synapse/releases/tag/v1.25.0;;;https://github.com/matrix-org/synapse/pull/8950;;
H;Server-Side Request Forgery (SSRF);https://snyk.io/vuln/SNYK-PYTHON-SPLASH-1050182;splash;[0,);;;;;;;;https://github.com/scrapinghub/splash/issues/1087;
H;Command Injection;https://snyk.io/vuln/SNYK-PYTHON-SALT-1080588;salt;[3002rc1,3002.5),[3001rc1,3001.6),[,3000.8);CVE-2021-3197;;;;;;;;
H;Improper Authorization;https://snyk.io/vuln/SNYK-PYTHON-SALT-1080589;salt;[3002rc1,3002.5),[3001rc1,3001.6),[,3000.8);CVE-2021-25281;;;;;;;;
M;Directory Traversal;https://snyk.io/vuln/SNYK-PYTHON-SALT-1080590;salt;[3002rc1,3002.5),[3001rc1,3001.6),[,3000.8);CVE-2021-25282;;;;;;;;
H;Server-side Template Injection (SSTI);https://snyk.io/vuln/SNYK-PYTHON-SALT-1080591;salt;[3002rc1,3002.5),[3001rc1,3001.6),[,3000.8);CVE-2021-25283;;;;;;;;
M;Local Privilege Escalation;https://snyk.io/vuln/SNYK-PYTHON-SALT-1080594;salt;[3002rc1,3002.5),[3001rc1,3001.6),[,3000.8);CVE-2020-28243;;;;;;;;
M;Command Injection;https://snyk.io/vuln/SNYK-PYTHON-SALT-1080593;salt;[3002rc1,3002.5),[3001rc1,3001.6),[,3000.8);CVE-2021-3148;;;;;;;;
M;Sensitive Data Exposure;https://snyk.io/vuln/SNYK-PYTHON-SALT-1080592;salt;[3002rc1,3002.5),[3001rc1,3001.6),[,3000.8);CVE-2021-25284;;;;;;;;
H;Man-in-the-Middle (MitM);https://snyk.io/vuln/SNYK-PYTHON-SALT-1080595;salt;[3002rc1,3002.5),[3001rc1,3001.6),[,3000.8);CVE-2020-28972;;;;;;;;
M;Sensitive Data Exposure;https://snyk.io/vuln/SNYK-PYTHON-SALT-1080596;salt;[3002rc1,3002.5),[3001rc1,3001.6),[,3000.8);CVE-2021-3144;;;;;;;;
H;Improper Certificate Validation;https://snyk.io/vuln/SNYK-PYTHON-SALT-1080597;salt;[3002rc1,3002.5),[3001rc1,3001.6),[,3000.8);CVE-2020-35662;;;;;;;;
M;Open Redirect;https://snyk.io/vuln/SNYK-PYTHON-AIOHTTP-1079232;aiohttp;[,3.7.4);CVE-2021-21330;;;;;;;;
M;Regular Expression Denial of Service (ReDoS);https://snyk.io/vuln/SNYK-PYTHON-NLTK-1053952;nltk;[0,];;;;;;;https://github.com/nltk/nltk/pull/2597;https://github.com/nltk/nltk/issues/2596;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-CHANNELS-1078280;channels;[3.0.0, 3.0.3);CVE-2020-35681;;;;;;;;
M;Timing Attack;https://snyk.io/vuln/SNYK-PYTHON-PATRONI-1077063;patroni;[0,2.0.2);;;;;;;https://github.com/zalando/patroni/pull/1847;;
M;Web Cache Poisoning;https://snyk.io/vuln/SNYK-PYTHON-DJANGO-1076802;django;[2.2,2.2.19),[3.0,3.0.13),[3.1,3.1.7);CVE-2021-23336;;https://github.com/django/django/commit/be8237c7cce24b06aabde0b97afce98ddabbe3b6;;;;;;
M;Improper Authentication;https://snyk.io/vuln/SNYK-PYTHON-APACHEAIRFLOW-1076591;apache-airflow;[2.0.0, 2.0.1rc1);CVE-2021-26697;;https://github.com/apache/airflow/commit/24a54242d56058846c7978130b3f37ca045d5142;;;;;;
M;Arbitrary Code Execution;https://snyk.io/vuln/SNYK-PYTHON-LABELSTUDIO-1075516;label-studio;[,0.9.1);;;;;;;https://github.com/heartexlabs/label-studio/pull/601;;
M;Deserialization of Untrusted Data;https://snyk.io/vuln/SNYK-PYTHON-PYQLIB-1085990;pyqlib;[0,];CVE-2021-23338;;https://github.com/microsoft/qlib/commit/50d5fcf61e816d78d226142d352c554a31873eea;;;;;;
H;Regular Expression Denial of Service (ReDoS);https://snyk.io/vuln/SNYK-PYTHON-HTTPLIB2-1065795;httplib2;[0,0.19.0);CVE-2021-21240;;https://github.com/httplib2/httplib2/commit/bd9ee252c8f099608019709e22c0d705e98d26bc;;;;;;
M;Improper Authorization;https://snyk.io/vuln/SNYK-PYTHON-DYNAMODBENCRYPTIONSDK-1070809;dynamodb-encryption-sdk;[,1.3.0);;;https://github.com/aws/aws-dynamodb-encryption-python/commit/90606ec9af7c2b5cb338d64639a62ee867d38d6b;;;;;;
M;Cryptographic Issues;https://snyk.io/vuln/SNYK-PYTHON-CRYPTOGRAPHY-1070544;cryptography;[3.1 ,3.3.2);CVE-2020-36242;;https://github.com/pyca/cryptography/commit/06cbf77371881e80ea4b5e349136dcc53749fc0c;;;https://github.com/pyca/cryptography/blob/master/CHANGELOG.rst;;https://github.com/pyca/cryptography/issues/5615;
M;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-ANSIBLE-1070407;ansible;[,2.8.19),[2.9.0, 2.9.18);CVE-2021-20180;;https://github.com/ansible/ansible/commit/bfea16c4f741d4cd10c8e17bf7eed14240345cb5;;;;;;
M;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-ANSIBLE-1070408;ansible;[,2.8.19),[2.9.0, 2.9.18),[2.10.0,2.10.7);CVE-2021-20228;;https://github.com/ansible/ansible/commit/e41d1f0a3fd6c466192e7e24accd3d1c6501111b;;;;https://github.com/ansible/ansible/pull/73487;;
M;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-ANSIBLE-1070409;ansible;[,2.8.19),[2.9.0, 2.9.18);CVE-2021-20178;;https://github.com/ansible/ansible/commit/0785772a03470fd2879d2f613520284997dc9dd0;;;;;;
H;Regular Expression Denial of Service (ReDoS);https://snyk.io/vuln/SNYK-PYTHON-MARKDOWN2-1063233;markdown2;[1.0.1.18, 2.4.0);;;https://github.com/trentm/python-markdown2/commit/7b651260739647de5198323e0445b1618750c374;;;;https://github.com/trentm/python-markdown2/pull/387;;
M;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-BLEACH-1069893;bleach;[,3.3.0);;;https://github.com/mozilla/bleach/commit/79b7a3c5e56a09d1d323a5006afa59b56162eb13;;;;;;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-PYTHONLEVENSHTEIN-1061894;python-levenshtein;[0,0.12.1);;;https://github.com/ztane/python-Levenshtein/commit/c335ac0167f7ebb4a7b01ecd7581f7a03aa71187;;;;;https://github.com/ztane/python-Levenshtein/issues/62;
M;Regular Expression Denial of Service (ReDoS);https://snyk.io/vuln/SNYK-PYTHON-JINJA2-1012994;jinja2;[,2.11.3);CVE-2020-28493;;;;;https://github.com/pallets/jinja/blob/ab81fd9c277900c85da0c322a2ff9d68a235b2e6/src/jinja2/utils.py#L20;https://github.com/pallets/jinja/pull/1343;;
M;Improper Input Validation;https://snyk.io/vuln/SNYK-PYTHON-PYTHON3SAML-1066254;python3-saml;[,1.5.0);;;https://github.com/onelogin/python3-saml/commit/61eacb44d5789bd96edd11309a2bcae66e0d725f;;;;;;
M;Improper Input Validation;https://snyk.io/vuln/SNYK-PYTHON-PYTHONSAML-1066253;python-saml;[,2.5.0);;;https://github.com/onelogin/python3-saml/commit/61eacb44d5789bd96edd11309a2bcae66e0d725f;;;;;;
L;Directory Traversal;https://snyk.io/vuln/SNYK-PYTHON-DJANGO-1066259;django;[1.4,2.2.18),[3.0a1,3.0.12),[3.1a1,3.1.6);CVE-2021-3281;;https://github.com/django/django/commit/05413afa8c18cdb978fcdf470e09f7a12b234a23;;;;;;
M;Insecure Defaults;https://snyk.io/vuln/SNYK-PYTHON-DJANGOCA-1066249;django-ca;[,1.17.0);;;https://github.com/mathiasertl/django-ca/commit/a0cdab183bd238108069389bc28a338ddfdedabd;;;;;;
M;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-DATASETTECSSPROPERTIES-1066248;datasette-css-properties;[,0.2);;;https://github.com/simonw/datasette-css-properties/commit/faf181430667af0e4f4954163fefcc32e8fdbd9c;;;;;;
H;Improper Validation;https://snyk.io/vuln/SNYK-PYTHON-CONCRETEDATASTORE-1066247;concrete-datastore;[,1.22.0);;;https://github.com/Netsach/concrete-datastore/commit/48b1d0f1349d211d475122e60e8f55895808b524;;;;;;
M;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-APACHESUPERSET-1066246;apache-superset;[,0.36.0);;;https://github.com/apache/superset/commit/3e73c81b25842a16e647ec5524049b0260f090e5;;;;;;
M;Insecure Defaults;https://snyk.io/vuln/SNYK-PYTHON-APACHESUPERSET-1066245;apache-superset;[,0.35.1);;;https://github.com/apache/superset/commit/05b67673c3fdb4c94e5af5bc2fe83f1b227d7d08;;;;;;
M;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-APACHESUPERSET-1066244;apache-superset;[,0.34.0);;;https://github.com/apache/superset/commit/b62d7e3e8eaa80e201af3141fb4fe26c39e1ff79;;;;;;
M;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-APACHESUPERSET-1066243;apache-superset;[,0.34.0);;;https://github.com/apache/superset/commit/4ff17ffc8de30c3813a81c80cf38d89d9da7a73d;;;;;;
H;Arbitrary Code Execution;https://snyk.io/vuln/SNYK-PYTHON-APACHESUPERSET-1066242;apache-superset;[,0.34.0);;;https://github.com/apache/superset/commit/4ff17ffc8de30c3813a81c80cf38d89d9da7a73d;;;;;;
M;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-APACHESUPERSET-1066240;apache-superset;[,0.34.0);;;https://github.com/apache/superset/commit/0c5db55d55471c1c61c0750733733c157551b2d8;;;;;;
H;Deserialization of Untrusted Data;https://snyk.io/vuln/SNYK-PYTHON-CATALYST-1063226;catalyst;[,21.1rc0);;;https://github.com/catalyst-team/catalyst/commit/df9e07f962ca61986a31c602a4511ad983dad028;;;;https://github.com/catalyst-team/catalyst/pull/1054;;
M;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-ANSIBLE-1062705;ansible;[,2.8.19),[2.9.0, 2.9.18);CVE-2021-20191;;;;;;https://github.com/ansible/ansible/pull/73488;;
M;Insecure Defaults;https://snyk.io/vuln/SNYK-PYTHON-PYSAML2-1063038;pysaml2;[,6.5.0);CVE-2021-21239;;https://github.com/IdentityPython/pysaml2/commit/751dbf50a51131b13d55989395f9b115045f9737;;;;;;
M;Improper Validation;https://snyk.io/vuln/SNYK-PYTHON-PYSAML2-1063039;pysaml2;[,6.5.0);CVE-2021-21238;;https://github.com/IdentityPython/pysaml2/commit/3b707723dcf1bf60677b424aac398c0c3557641d;;;;;;
M;Web Cache Poisoning;https://snyk.io/vuln/SNYK-PYTHON-BOTTLE-1017108;bottle;[0,0.12.19);CVE-2020-28473;;;;;;;;
H;Arbitrary Code Execution;https://snyk.io/vuln/SNYK-PYTHON-GITBIGPICTURE-1059427;git-big-picture;[,1.0.0);CVE-2021-3028;;;https://github.com/git-big-picture/git-big-picture/releases/tag/v1.0.0;;;https://github.com/git-big-picture/git-big-picture/pull/27;;
H;Remote Code Execution (RCE);https://snyk.io/vuln/SNYK-PYTHON-GITBIGPICTURE-1059422;git-big-picture;[,1.0.0);CVE-2021-3028;;;https://github.com/git-big-picture/git-big-picture/releases/tag/v1.0.0;;;https://github.com/git-big-picture/git-big-picture/pull/27;;
M;Cross-site Request Forgery (CSRF);https://snyk.io/vuln/SNYK-PYTHON-JUPYTERHUB-1059269;jupyterhub;[0,];CVE-2020-36191;;;;;;;https://github.com/jupyterhub/jupyterhub/issues/3304;
M;Out-of-bounds Write;https://snyk.io/vuln/SNYK-PYTHON-PILLOW-1059090;pillow;[6.0.0,8.1.0);CVE-2020-35654;;;;;;https://github.com/python-pillow/Pillow/pull/5175;;
H;Authentication Bypass;https://snyk.io/vuln/SNYK-PYTHON-PROXYPY-1058919;proxy.py;[,2.3.1);CVE-2021-3116;;https://github.com/abhinavsingh/proxy.py/pull/482/commits/9b00093288237f5073c403f2c4f62acfdfa8ed46;;;;;;
H;Cross-site Request Forgery (CSRF);https://snyk.io/vuln/SNYK-PYTHON-FLASKSECURITYTOO-1056906;flask-security-too;[3.3.0, 3.4.5);CVE-2021-21241;https://github.com/Flask-Middleware/flask-security/security/advisories/GHSA-hh7m-rx4f-4vpv;;https://github.com/Flask-Middleware/flask-security/releases/tag/3.4.5;;;https://github.com/Flask-Middleware/flask-security/pull/422;;
M;Regular Expression Denial of Service (ReDoS);https://snyk.io/vuln/SNYK-PYTHON-CAIROSVG-1056423;cairosvg;[,2.5.1);CVE-2021-21236;;https://github.com/Kozea/CairoSVG/commit/cfc9175e590531d90384aa88845052de53d94bf3;https://github.com/Kozea/CairoSVG/releases/tag/2.5.1;;;;;
H;Buffer Overflow;https://snyk.io/vuln/SNYK-PYTHON-CLICKHOUSEDRIVER-1055828;clickhouse-driver;[,0.1.5);CVE-2020-26759;;https://github.com/mymarilyn/clickhouse-driver/commit/3e990547e064b8fca916b23a0f7d6fe8c63c7f6b;;;;;;
H;Out-of-bounds Read;https://snyk.io/vuln/SNYK-PYTHON-PILLOW-1055462;pillow;[4.3.0,8.1.0);CVE-2020-35655;;;;;;https://github.com/python-pillow/Pillow/pull/5173;;
H;Security Bypass;https://snyk.io/vuln/SNYK-PYTHON-ANYCONFIG-1055467;anyconfig;[,0.10.0);;;https://github.com/ssato/python-anyconfig/commit/4ab8770972fbd689d7152e572380fa9fbe88df05;;;;;https://github.com/ssato/python-anyconfig/issues/118#issuecomment-753284295;
H;Out-of-bounds Read;https://snyk.io/vuln/SNYK-PYTHON-PILLOW-1055461;pillow;[,8.1.0);CVE-2020-35653;;;;;;https://github.com/python-pillow/Pillow/pull/5174;;
M;Open Redirect;https://snyk.io/vuln/SNYK-PYTHON-SENTRY-1049561;sentry;[0,20.12.1);;;;;;;https://github.com/getsentry/sentry/pull/22547;;
M;Hash Collision;https://snyk.io/vuln/SNYK-PYTHON-IPADDRESS-1041793;ipaddress;[0,];;;;;;;;;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-VINEYARD-1055212;vineyard;[,0.1.2);;;https://github.com/alibaba/libvineyard/commit/92574fb0fb397f8e99f8e17783effb05690d4cd7;;;;https://github.com/alibaba/libvineyard/pull/64;;
M;Authentication Bypass;https://snyk.io/vuln/SNYK-PYTHON-ZIGPYZNP-1055211;zigpy-znp;[,0.3.0);;;https://github.com/zigpy/zigpy-znp/commit/fe6bb2eb7aceeeb9d39c5fa955efe265f36689cb;;;;;;
H;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-SELDONCORE-1055213;seldon-core;[,1.2.0);;;;;;;https://github.com/SeldonIO/seldon-core/pull/893;https://github.com/SeldonIO/seldon-core/issues/1766;
M;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-TERMIUS-1055214;termius;[,1.2.13);;;https://github.com/termius/termius-cli/commit/7b7381e6f8b14c34319c9142ea0367805d9ed60d;;;;;;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-QUART-1055215;quart;[,0.5.0);;;;;;;;;
H;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-TDAMERITRADEPYTHONAPI-1055216;td-ameritrade-python-api;[,0.3.2);;;;https://github.com/areed1192/td-ameritrade-python-api/releases/tag/v0.3.2;;;;;
M;Improper Authentication;https://snyk.io/vuln/SNYK-PYTHON-RASA-1055217;rasa;[,2.1.0);;;;;;;https://github.com/RasaHQ/rasa/pull/7204;;
M;Server-side Request Forgery (SSRF);https://snyk.io/vuln/SNYK-PYTHON-REPORTLAB-1022145;reportlab;[0,];CVE-2020-28463;;;;;;;;
M;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-PYOMO-1055218;pyomo;[,5.7.2);;;https://github.com/Pyomo/pyomo/pull/1654/commits/00dbf2678430cc8dd8a5c30c7d9bc7974925cca4;;;;;;
H;Denial of Service (DoS);https://snyk.io/vuln/SNYK-PYTHON-ASYNCSSH-1055221;asyncssh;[,2.5.0);;;https://github.com/ronf/asyncssh/commit/d0f0725371a5082f1b88b5c23b438c0edf07846a;;;;;;
H;Improper Input Validation;https://snyk.io/vuln/SNYK-PYTHON-FARADAYAGENTDISPATCHER-1055219;faraday-agent-dispatcher;[,1.2.1);;;;https://github.com/infobyte/faraday_agent_dispatcher/releases/tag/1.2.1;;;;;
H;Information Exposure;https://snyk.io/vuln/SNYK-PYTHON-CHANNELS-1055010;channels;[3.0.0, 3.0.3);CVE-2020-35681;;;;;;;;
M;XML External Entity (XXE) Injection;https://snyk.io/vuln/SNYK-PYTHON-PLONE-1055013;plone;[,5.2.3);CVE-2020-28736;;;;;;;https://github.com/plone/Products.CMFPlone/issues/3209;
M;Server-side Request Forgery (SSRF);https://snyk.io/vuln/SNYK-PYTHON-PLONE-1055012;plone;[,5.2.3);CVE-2020-28735;;;;;;;https://github.com/plone/Products.CMFPlone/issues/3209;
M;XML External Entity (XXE) Injection;https://snyk.io/vuln/SNYK-PYTHON-PLONE-1055011;plone;[,5.2.3);CVE-2020-28734;;;;;;;https://github.com/plone/Products.CMFPlone/issues/3209;
M;Authorization Bypass;https://snyk.io/vuln/SNYK-PYTHON-INDYNODE-1054609;indy-node;[0, 1.12.4);CVE-2020-11093;;https://github.com/hyperledger/indy-node/commit/55056f22c83b7c3520488b615e1577e0f895d75a;;;;;;
M;HTTP Header Injection;https://snyk.io/vuln/SNYK-PYTHON-AUTOBAHN-1054590;autobahn;[,20.12.3);CVE-2020-35678;;;;;;https://github.com/crossbario/autobahn-python/pull/1439;;
H;NULL Pointer Dereference;https://snyk.io/vuln/SNYK-PYTHON-REDISGRAPH-1053976;redisgraph;[0,];CVE-2020-35668;;;;;;https://github.com/RedisGraph/RedisGraph/pull/1503;https://github.com/RedisGraph/RedisGraph/issues/1502;
M;Improper Authentication;https://snyk.io/vuln/SNYK-PYTHON-APACHEAIRFLOW-1053432;apache-airflow;[,1.10.14);CVE-2020-17526;;;;;;;;
M;Timing Attack;https://snyk.io/vuln/SNYK-PYTHON-TLSLITENG-1053429;tlslite-ng;[,0.7.6),[0.8.0-alpha1, 0.8.0-alpha39);CVE-2020-26263;;;;;;;;
M;Open Redirect;https://snyk.io/vuln/SNYK-PYTHON-JUPYTERSERVER-1053428;jupyter-server;[,1.1.1);CVE-2020-26275;https://github.com/jupyter-server/jupyter_server/security/advisories/GHSA-9f66-54xg-pc2c;;;;;;;
H;Cross-site Scripting (XSS);https://snyk.io/vuln/SNYK-PYTHON-OPENSLIDES-1053228;openslides;[3.2,3.3);CVE-2020-26280;https://github.com/OpenSlides/OpenSlides/security/advisories/GHSA-w5wr-98qm-jx92;https://github.com/OpenSlides/OpenSlides/commit/f3809fc8a97ee305d721662a75f788f9e9d21938;;;https://github.com/OpenSlides/OpenSlides/blob/master/CHANGELOG.rst#version-33-2020-12-18;https://github.com/OpenSlides/OpenSlides/pull/5714;;
H;Deserialization of Untrusted Data;https://snyk.io/vuln/SNYK-PYTHON-JSONPICKLE-1052447;jsonpickle;[0,];CVE-2020-22083;;;;;https://gist.github.com/j0lt-github/bb543e77a1a10c33cb56cf23d0837874;;https://github.com/jsonpickle/jsonpickle/issues/332;
M;Server-Side Request Forgery (SSRF);https://snyk.io/vuln/SNYK-PYTHON-APACHEAIRFLOW-1050988;apache-airflow;[,1.10.13);CVE-2020-17513;;;https://github.com/apache/airflow/releases/tag/1.10.13;;;;;
H;Credential Exposure;https://snyk.io/vuln/SNYK-PYTHON-APACHEAIRFLOW-1050989;apache-airflow;[,1.10.13);CVE-2020-17511;;;https://github.com/apache/airflow/releases/tag/1.10.13;;;;;
H;Out-of-Bounds;https://snyk.io/vuln/SNYK-PYTHON-TENSORFLOW-1050378;tensorflow;[2.4.0rc0, 2.4.0),[2.3.0, 2.3.2),[2.2.0, 2.2.2),[2.1.0, 2.1.3),[2.0.0, 2.0.4),[, 1.15.5);CVE-2020-26271;;;;;;;;
